USPS,GEOID,ANSICODE,NAME,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
AL,0100100,02582661,Abanda CDP,57,S,7764034,34284,2.998,0.013,33.091627,-85.527029
AL,0100124,02403054,Abbeville city,25,A,40255362,107642,15.543,0.042,31.564689,-85.259124
AL,0100460,02403063,Adamsville city,25,A,65193211,14122,25.171,0.005,33.605748,-86.974649
AL,0100484,02405123,Addison town,43,A,9753293,83417,3.766,0.032,34.202681,-87.178004
AL,0100676,02405125,Akron town,43,A,1776163,13849,0.686,0.005,32.879495,-87.741679
AL,0100820,02403069,Alabaster city,25,A,65371801,806152,25.24,0.311,33.226936,-86.761015
AL,0100988,02403074,Albertville city,25,A,69358644,258708,26.78,0.1,34.26313,-86.21066
AL,0101132,02403077,Alexander City city,25,A,108771403,729970,41.997,0.282,32.92724,-85.937122
AL,0101180,02402638,Alexandria CDP,57,S,28834976,33099,11.133,0.013,33.760819,-85.872008
AL,0101228,02403080,Aliceville city,25,A,11819855,0,4.564,0.,33.123686,-88.159364
AL,0101396,02405136,Allgood town,43,A,2690288,1452,1.039,0.001,33.907623,-86.516109
AL,0101660,02405146,Altoona town,43,A,11193369,25442,4.322,0.01,34.040014,-86.305179
AL,0101708,02403097,Andalusia city,25,A,50911855,405912,19.657,0.157,31.309436,-86.478031
AL,0101756,02405149,Anderson town,43,A,3347216,1520,1.292,0.001,34.915675,-87.274274
AL,0101852,02403101,Anniston city,25,A,118091474,179313,45.595,0.069,33.673435,-85.810937
AL,0102116,02403104,Arab city,25,A,34511834,343242,13.325,0.133,34.332387,-86.501167
AL,0102260,02405163,Ardmore town,43,A,5289895,21830,2.042,0.008,34.987838,-86.829022
AL,0102320,02405164,Argo town,43,A,27841536,147821,10.75,0.057,33.691576,-86.503766
AL,0102428,02405166,Ariton town,43,A,13182489,0,5.09,0.,31.597772,-85.713061
AL,0102500,02405167,Arley town,43,A,9740655,33989,3.761,0.013,34.076234,-87.217831
AL,0102836,02405172,Ashford town,43,A,16064130,56699,6.202,0.022,31.185284,-85.236236
AL,0102860,02405173,Ashland town,43,A,18986275,85046,7.331,0.033,33.269892,-85.833706
AL,0102908,02403122,Ashville city,25,A,49762931,487105,19.214,0.188,33.835197,-86.270015
AL,0102956,02403123,Athens city,25,A,103236667,665558,39.86,0.257,34.779021,-86.950799
AL,0103004,02403129,Atmore city,25,A,56622749,194035,21.862,0.075,31.124067,-87.457798
AL,0103028,02403130,Attalla city,25,A,18079282,0,6.98,0.,33.986189,-86.121037
AL,0103076,02403132,Auburn city,25,A,155748728,2638308,60.135,1.019,32.607722,-85.489545
AL,0103220,02405187,Autaugaville town,43,A,20286746,530328,7.833,0.205,32.432563,-86.658752
AL,0103364,02405191,Avon town,43,A,6687793,53694,2.582,0.021,31.179727,-85.279211
AL,0103508,02628577,Axis CDP,57,S,10099851,28960,3.9,0.011,30.922021,-88.022897
AL,0103556,02405195,Babbie town,43,A,29709390,302262,11.471,0.117,31.302083,-86.319437
AL,0103676,02405198,Baileyton town,43,A,13611429,155195,5.255,0.06,34.260858,-86.608788
AL,0103724,02405200,Bakerhill town,43,A,7126271,0,2.751,0.,31.776923,-85.295408
AL,0103820,02582662,Ballplay CDP,57,S,60996781,485209,23.551,0.187,34.023046,-85.801481
AL,0103940,02405206,Banks town,43,A,5145554,0,1.987,0.,31.813264,-85.836434
AL,0104660,02403825,Bay Minette city,25,A,44684969,202288,17.253,0.078,30.894436,-87.791306
AL,0104684,02403828,Bayou La Batre city,25,A,19475779,369464,7.52,0.143,30.407586,-88.263271
AL,0104852,02405219,Bear Creek town,43,A,35295458,345560,13.628,0.133,34.255481,-87.713399
AL,0104900,02405221,Beatrice town,43,A,3503547,0,1.353,0.,31.733309,-87.209046
AL,0104948,02405225,Beaverton town,43,A,11882782,0,4.588,0.,33.935411,-88.021778
AL,0105140,02628578,Belgreen CDP,57,S,3180831,15104,1.228,0.006,34.47454,-87.861678
AL,0105164,02405230,Belk town,43,A,3588962,0,1.386,0.,33.651647,-87.928609
AL,0105188,02628579,Bellamy CDP,57,S,9780480,108299,3.776,0.042,32.463658,-88.131481
AL,0105212,02632282,Belle Fontaine CDP,57,S,4022920,939300,1.553,0.363,30.489492,-88.10594
AL,0105692,02405243,Benton town,43,A,781978,89459,0.302,0.035,32.307931,-86.817546
AL,0105932,02405250,Berry town,43,A,27884733,15029,10.766,0.006,33.666702,-87.609311
AL,0105980,02403864,Bessemer city,25,A,104998110,429098,40.54,0.166,33.370789,-86.971568
AL,0106460,02405265,Billingsley town,43,A,3041964,3909,1.175,0.002,32.664751,-86.70667
AL,0107000,02403868,Birmingham city,25,A,378318045,6593183,146.069,2.546,33.527444,-86.799047
AL,0107120,02405270,Black town,43,A,7980188,0,3.081,0.,31.010249,-85.742791
AL,0107456,02405280,Blountsville town,43,A,14039366,179778,5.421,0.069,34.075838,-86.583918
AL,0107588,02402696,Blue Ridge CDP,57,S,20093252,229633,7.758,0.089,32.4989,-86.182436
AL,0107672,02405286,Blue Springs town,43,A,7500883,0,2.896,0.,31.663516,-85.503526
AL,0107912,02403886,Boaz city,25,A,37683448,161880,14.55,0.063,34.19902,-86.155151
AL,0108104,02405297,Boligee town,43,A,10231296,36323,3.95,0.014,32.7681,-88.028579
AL,0108248,02405301,Bon Air town,43,A,3436489,15386,1.327,0.006,33.25937,-86.327148
AL,0108272,02633314,Bon Secour CDP,57,S,11190210,859584,4.321,0.332,30.318246,-87.72439
AL,0108680,02628580,Boykin CDP,57,S,6888209,30520,2.66,0.012,32.068375,-87.294343
AL,0109016,02405315,Brantley town,43,A,8047471,130826,3.107,0.051,31.581992,-86.256784
AL,0109064,02582663,Brantleyville CDP,57,S,5687772,26749,2.196,0.01,33.219303,-86.882522
AL,0109136,02403918,Brent city,25,A,22739426,77911,8.78,0.03,32.944893,-87.172088
AL,0109208,02403921,Brewton city,25,A,29057344,604882,11.219,0.234,31.109175,-87.076583
AL,0109328,02403924,Bridgeport city,25,A,11210021,334212,4.328,0.129,34.949312,-85.723765
AL,0109400,02403925,Brighton city,25,A,3664884,0,1.415,0.,33.439252,-86.945384
