id,product,hash,ip,org,port,transport,isp,timestamp,ip_str
1,Squid http proxy,-2003608736,3116182874,EliteWork LLC,8000,tcp,Rhine Internet Registry Ltd,2018-12-05T01:26:49.916147,185.189.45.90
2,OpenSSH,830705739,758891730,Spectrum,22,tcp,Spectrum,2018-12-05T01:18:25.636039,45.59.196.210
3,,0,2680892980,Digital Ocean,8123,tcp,Digital Ocean,2018-12-05T01:18:26.497126,159.203.46.52
4,,1356830273,3211111846,Digital Energy Technologies Chile SpA,143,tcp,Digital Energy Technologies Chile SpA,2018-12-05T01:26:49.085021,191.101.173.166
5,AkamaiGHost,234347257,3088610160,Akamai Technologies,80,tcp,Akamai Technologies,2018-12-05T01:18:25.696312,184.24.115.112
6,,-469968508,1165436070,Optimum Online,4567,tcp,Optimum Online,2018-12-05T01:18:26.457848,69.119.36.166
7,,622175137,3485501640,NexQloud,80,tcp,NexQloud,2018-12-05T01:26:53.483217,207.192.136.200
8,,1283707613,1746633743,Cloudflare,80,tcp,Cloudflare,2018-12-05T01:18:17.186049,104.27.132.15
9,,128413683,1244306336,Frontier Communications,4567,tcp,Frontier Communications,2018-12-05T01:18:27.629832,74.42.155.160
10,,-1526315448,1745968027,Cloudflare,8880,tcp,Cloudflare,2018-12-05T01:18:02.650210,104.17.91.155
11,,-1103650261,844574652,Unified Layer,2082,tcp,Unified Layer,2018-12-05T01:18:02.382822,50.87.47.188
12,Tridium Niagara httpd,2011406327,3485523305,Suddenlink Communications,81,tcp,Suddenlink Communications,2018-12-05T01:18:28.567675,207.192.221.105
13,Pure-FTPd,-2018694868,1823727829,CyrusOne LLC,21,tcp,Websitewelcome.com,2018-12-05T01:18:27.638791,108.179.224.213
14,,-2093676592,1211368567,Akamai Technologies,80,tcp,Akamai Technologies,2018-12-05T01:18:03.546559,72.52.4.119
15,,0,601059822,Google Cloud,1883,tcp,Google Cloud,2018-12-05T01:18:26.941524,35.211.113.238
16,AkamaiGHost,-1503379714,1751085392,TPG Internet,443,tcp,Akamai Technologies,2018-12-05T01:18:06.123286,104.95.113.80
17,,1600689708,3326698382,"Infinite Campus, Incorporated",443,tcp,"Infinite Campus, Incorporated",2018-12-05T01:18:16.502705,198.73.99.142
18,,1942890909,1805293612,Incapsula,5222,tcp,Incapsula,2018-12-05T01:18:40.053017,107.154.152.44
19,,936573469,402759773,Comcast Cable,7547,tcp,Comcast Cable,2018-12-05T01:18:17.941715,24.1.160.93
20,,522875116,917369156,Amazon,443,tcp,Amazon,2018-12-05T01:18:22.451239,54.173.241.68
21,OpenSSH,-1644059470,1758567083,Microsoft Azure,22,tcp,Microsoft Corporation,2018-12-05T01:24:14.092849,104.209.154.171
22,,697921753,3236319351,Incapsula,7001,tcp,Incapsula,2018-12-05T01:18:29.669602,192.230.80.119
23,Apache httpd,1716282300,3519585080,Akamai Technologies,80,tcp,Akamai Technologies,2018-12-05T01:18:13.142554,209.200.155.56
24,OpenSSH,173770325,3233399417,CyrusOne LLC,2222,tcp,Websitewelcome.com,2018-12-05T01:24:12.728299,192.185.194.121
25,,-1175745811,1266758851,Spectrum,443,tcp,Spectrum,2018-12-05T01:17:38.448187,75.129.52.195
26,,-2140215231,1746151921,Cloudflare,80,tcp,Cloudflare,2018-12-05T01:18:31.794310,104.20.41.241
