USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
AL	0101	15713197908	2275675091	6066.9	878.643	31.002052	-87.787972                                                                                                                                      
AL	0102	26269902298	303582941	10142.866	117.214	31.702085	-86.076842                                                                                                                                    
AL	0103	19537640555	471223121	7543.526	181.94	33.150564	-85.700228                                                                                                                                      
AL	0104	23022590138	573214646	8889.072	221.319	34.11818	-87.213808                                                                                                                                      
AL	0105	9525492193	459955499	3677.813	177.59	34.755297	-86.711804                                                                                                                                       
AL	0106	10803396962	176793844	4171.215	68.26	33.260212	-86.71343                                                                                                                                        
AL	0107	26301828529	332882012	10155.193	128.526	32.449235	-87.640501                                                                                                                                    
AK	0200	1478839695958	245481577452	570983.223	94780.971	63.347356	-152.839733                                                                                                                           
AZ	0401	142545945366	354110880	55037.3	136.723	34.971013	-110.725925                                                                                                                                    
AZ	0402	20298527958	138375379	7837.306	53.427	31.916618	-109.938728                                                                                                                                     
AZ	0403	40632657178	8409911	15688.357	3.247	32.422318	-112.401301                                                                                                                                       
AZ	0404	85987711649	504383238	33200.042	194.743	34.590918	-113.204528                                                                                                                                   
AZ	0405	760073450	2338559	293.466	0.903	33.339694	-111.712424                                                                                                                                           
AZ	0406	1618660740	11030711	624.968	4.259	33.665663	-111.888471                                                                                                                                         
AZ	0407	530107625	1651788	204.676	0.638	33.427819	-112.118768                                                                                                                                           
AZ	0408	1398129833	4067789	539.821	1.571	33.695571	-112.299576                                                                                                                                          
AZ	0409	426737344	2969348	164.764	1.146	33.406007	-111.949996                                                                                                                                           
AR	0501	50035558911	1234692466	19318.838	476.717	35.293909	-91.258306                                                                                                                                   
AR	0502	12895640577	302544768	4979.035	116.813	35.09956	-92.379157                                                                                                                                      
AR	0503	13982564687	375776742	5398.699	145.088	36.500504	-94.617768                                                                                                                                     
AR	0504	57855108552	1049845616	22337.983	405.348	34.2242	-93.221113                                                                                                                                     
CA	0601	72746795133	1948066307	28087.696	752.153	40.731988	-121.510516                                                                                                                                  
