GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                    
0010	01934337	Acoma Off-Reservation Trust Land	476750633	94718	184.074	0.037	34.605881	-107.677641                                                                                                      
0020	01934324	Agua Caliente Off-Reservation Trust Land	14776718	0	5.705	0.	33.74171	-116.564765                                                                                                         
0050	01350923	Alabama-Coushatta Off-Reservation Trust Land	18307192	0	7.068	0.	30.709181	-94.65502                                                                                                      
0115	02562463	Aroostook Band of Micmac Trust Land	4235781	0	1.635	0.	46.920245	-67.887306                                                                                                               
0120	00218454	Auburn Off-Reservation Trust Land	4303768	0	1.662	0.	39.022875	-121.324384                                                                                                                
0155	00255962	Barona Off-Reservation Trust Land	5200226	0	2.008	0.	32.939633	-116.8393                                                                                                                  
0165	00838653	Battle Mountain Off-Reservation Trust Land	6030	0	0.002	0.	40.652337	-116.964465                                                                                                          
0170	01622234	Bay Mills Off-Reservation Trust Land	88291	0	0.034	0.	46.459864	-84.727067                                                                                                                
0185	02419307	Benton Paiute Off-Reservation Trust Land	871283	0	0.336	0.	37.786522	-118.522741                                                                                                          
0200	00256849	Berry Creek Off-Reservation Trust Land	285954	0	0.11	0.	39.50237	-121.504449                                                                                                              
0250	00256983	Big Pine Off-Reservation Trust Land	60027	0	0.023	0.	37.166975	-118.277062                                                                                                                
0265	01667416	Big Sandy Off-Reservation Trust Land	311957	0	0.12	0.	37.093133	-119.469489                                                                                                               
0305	00806895	Blackfeet Off-Reservation Trust Land	300363	0	0.116	0.	48.182019	-112.830326                                                                                                              
0325	02419316	Blue Lake Off-Reservation Trust Land	200342	9060	0.077	0.003	40.884478	-124.002386                                                                                                        
0335	02105053	Bois Forte Off-Reservation Trust Land	5451651	0	2.105	0.	47.824367	-92.357009                                                                                                             
0350	02419320	Bridgeport Off-Reservation Trust Land	157206	0	0.061	0.	38.266683	-119.219838                                                                                                             
0400	01118340	Burns Paiute Off-Reservation Trust Land	45763725	67875	17.669	0.026	43.547219	-118.791242                                                                                                 
0555	00220808	Cedarville Off-Reservation Trust Land	45732	0	0.018	0.	41.527937	-120.181988                                                                                                              
0560	02419333	Celilo Village	460479	0	0.178	0.	45.644595	-120.966261                                                                                                                                    
0575	01503930	Chehalis Off-Reservation Trust Land	4546361	38776	1.755	0.015	46.824252	-123.164698                                                                                                       
0605	01267254	Cheyenne River Off-Reservation Trust Land	17703287	2842475	6.835	1.097	44.282694	-100.435861                                                                                              
0620	02419337	Chicken Ranch Off-Reservation Trust Land	79259	0	0.031	0.	37.927405	-120.448965                                                                                                           
0690	02418876	Coconut Creek Trust Land	24456	1388	0.009	0.001	26.277572	-80.199856                                                                                                                      
0760	01529464	Colville Off-Reservation Trust Land	579829	23757	0.224	0.009	47.883504	-120.134828                                                                                                        
0770	02418879	Coos, Lower Umpqua, and Siuslaw Off-Reservation Trust Land	494199	6823	0.191	0.003	43.981138	-124.086595                                                                                  
0795	00545438	Coushatta Off-Reservation Trust Land	1704711	18952	0.658	0.007	30.544749	-92.816831                                                                                                       
0815	02418898	Cow Creek Off-Reservation Trust Land	3976920	0	1.535	0.	42.946571	-123.308294                                                                                                             
0845	00806896	Crow Off-Reservation Trust Land	81288003	388787	31.385	0.15	45.203819	-107.017075                                                                                                         
0955	00222639	Dry Creek Off-Reservation Trust Land	74568	0	0.029	0.	38.700898	-122.86064                                                                                                                
1010	01657318	Elk Valley Off-Reservation Trust Land	1586786	0	0.613	0.	41.760397	-124.147357                                                                                                            
1055	00259950	Enterprise Off-Reservation Trust Land	166809	0	0.064	0.	39.050707	-121.512795                                                                                                             
1070	00850495	Fallon Paiute-Shoshone Off-Reservation Trust Land	207008	0	0.08	0.	39.477243	-118.771338                                                                                                  
1075	00840414	Fallon Paiute-Shoshone Off-Reservation Trust Land	646923	0	0.25	0.	39.522863	-118.57948                                                                                                   
1125	00654521	Fond du Lac Off-Reservation Trust Land	1406265	13353	0.543	0.005	46.35453	-91.794533                                                                                                      
1135	02418936	Forest County Potawatomi Off-Reservation Trust Land	3747969	10	1.447	0.	45.466848	-88.659323                                                                                              
1150	00767938	Fort Belknap Off-Reservation Trust Land	116801788	341661	45.097	0.132	48.078711	-108.962574                                                                                               
1170	00260275	Fort Bidwell Off-Reservation Trust Land	342312	0	0.132	0.	41.846991	-120.176531                                                                                                           
1185	00399059	Fort Hall Off-Reservation Trust Land	1081229	987161	0.417	0.381	42.901439	-111.966199                                                                                                     
1235	00024003	Fort Mojave Off-Reservation Trust Land	201955	11714	0.078	0.005	34.85194	-114.615825                                                                                                      
1250	00805884	Fort Peck Off-Reservation Trust Land	948678	0	0.366	0.	48.14484	-104.597678                                                                                                               
1355	00654523	Grand Portage Off-Reservation Trust Land	145754	0	0.056	0.	47.886713	-89.871018                                                                                                           
1365	02418950	Grand Ronde Off-Reservation Trust Land	4815379	0	1.859	0.	45.077944	-123.61069                                                                                                            
1370	02418951	Grand Traverse Off-Reservation Trust Land	3283922	0	1.268	0.	45.020534	-85.63091                                                                                                          
1400	00224709	Guidiville Off-Reservation Trust Land	9493	0	0.004	0.	39.139044	-123.148502                                                                                                               
1410	01616983	Hannahville Off-Reservation Trust Land	9250376	0	3.572	0.	45.684531	-87.341992                                                                                                            
1450	02418963	Ho-Chunk Nation Off-Reservation Trust Land	32395308	175961	12.508	0.068	44.861826	-89.152124                                                                                              
1460	01505548	Hoh Off-Reservation Trust Land	1755019	0	0.678	0.	47.735091	-124.396328                                                                                                                   
1505	00024001	Hopi Off-Reservation Trust Land	683834	0	0.264	0.	35.034691	-110.74845                                                                                                                    
1530	02418969	Houlton Maliseet Off-Reservation Trust Land	1651205	0	0.638	0.	46.188832	-67.805941                                                                                                       
1545	00045633	Hualapai Off-Reservation Trust Land	28178717	0	10.88	0.	35.687513	-113.889236                                                                                                             
1550	02109298	Huron Potawatomi Off-Reservation Trust Land	341470	0	0.132	0.	42.29646	-85.074847                                                                                                         
1590	00479831	Iowa (KS-NE) Off-Reservation Trust Land	639440	0	0.247	0.	39.968936	-95.382153                                                                                                            
1610	01616981	Isabella Off-Reservation Trust Land	4249349	27650	1.641	0.011	43.921956	-83.922387                                                                                                        
1655	02418978	Jamestown S'Klallam Off-Reservation Trust Land	1092511	18775	0.422	0.007	48.119267	-123.172969                                                                                            
