GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                    
5003	02634609	Anahola (Agricultural) Hawaiian Home Land	2076473	5227	0.802	0.002	22.144069	-159.318773                                                                                                  
5004	02634610	Anahola (Residential) Hawaiian Home Land	14577614	73631	5.628	0.028	22.135175	-159.332381                                                                                                 
5008	02634611	East Kapolei Hawaiian Home Land	857877	0	0.331	0.	21.349922	-158.043849                                                                                                                   
5009	02634612	Haiku Hawaiian Home Land	584613	0	0.226	0.	21.405972	-157.827191                                                                                                                          
5011	00359057	Hanapepe Hawaiian Home Land	1474122	0	0.569	0.	21.915832	-159.595777                                                                                                                      
5018	02634613	Homuula-Upper Piihonua Hawaiian Home Land	250978086	13642	96.903	0.005	19.753596	-155.404951                                                                                              
5026	00359289	Honokaia Hawaiian Home Land	13019793	0	5.027	0.	20.035037	-155.532303                                                                                                                     
5029	01853346	Honokowai Hawaiian Home Land	3240911	5142	1.251	0.002	20.945981	-156.666887                                                                                                               
5030	01853354	Honolulu Makai Hawaiian Home Land	94192	0	0.036	0.	21.336017	-157.896477                                                                                                                  
5031	01853338	Honomu Hawaiian Home Land	3091503	48050	1.194	0.019	19.852641	-155.139199                                                                                                                 
5033	01853339	Hoolehua-Palaau Hawaiian Home Land	55963215	0	21.608	0.	21.166029	-157.09578                                                                                                              
5041	00359755	Kahikinui Hawaiian Home Land	96495595	0	37.257	0.	20.643377	-156.275632                                                                                                                   
5043	02634614	Kakaina-Kumuhau Hawaiian Home Land	84090	0	0.032	0.	21.34516	-157.726157                                                                                                                  
5044	02634615	Kalaeloa Hawaiian Home Land	2318082	0	0.895	0.	21.318311	-158.081029                                                                                                                      
5046	01853005	Kalamaula Hawaiian Home Land	20578985	0	7.946	0.	21.125236	-157.023625                                                                                                                    
5051	00360095	Kalaupapa Hawaiian Home Land	5027873	0	1.941	0.	21.184573	-156.984057                                                                                                                     
5053	02634616	Kalawahine Hawaiian Home Land	191538	0	0.074	0.	21.31635	-157.835171                                                                                                                      
5056	01853340	Kamaoa-Puueo Hawaiian Home Land	45555656	0	17.589	0.	18.961491	-155.653039                                                                                                                
5061	02634617	Kamiloloa-Makakupaia Hawaiian Home Land	13149034	158134	5.077	0.061	21.099131	-156.966641                                                                                                 
5066	01853341	Kamoku-Kapulena Hawaiian Home Land	19349738	6270	7.471	0.002	20.04757	-155.559798                                                                                                         
5067	02634618	Kanehili Hawaiian Home Land	279722	0	0.108	0.	21.341098	-158.055494                                                                                                                       
5069	00362767	Kaohe-Olaa Hawaiian Home Land	2753056	0	1.063	0.	19.488321	-155.192263                                                                                                                    
5071	00360456	Kapaa Hawaiian Home Land	70824	0	0.027	0.	22.077846	-159.317697                                                                                                                           
5076	00360469	Kapaakea Hawaiian Home Land	7918049	0	3.057	0.	21.106146	-156.989803                                                                                                                      
5083	02414178	Kapolei Hawaiian Home Land	363048	0	0.14	0.	21.334214	-158.052658                                                                                                                         
5086	00360700	Kaumana Hawaiian Home Land	72612	0	0.028	0.	19.68425	-155.139665                                                                                                                          
5088	02634619	Kaupea Hawaiian Home Land	216739	0	0.084	0.	21.32935	-158.0619                                                                                                                            
5091	01853020	Kawaihae Hawaiian Home Land	41407083	0	15.987	0.	20.072836	-155.797556                                                                                                                    
5098	02634620	Keahuolu Hawaiian Home Land	613892	0	0.237	0.	19.662499	-155.98425                                                                                                                        
5101	01853342	Kealakehe Hawaiian Home Land	2884021	0	1.114	0.	19.672681	-155.995565                                                                                                                     
5104	00360975	Keanae-Wailua Hawaiian Home Land	995339	0	0.384	0.	20.842141	-156.147086                                                                                                                  
5106	01853343	Keaukaha Hawaiian Home Land	6833041	0	2.638	0.	19.724914	-155.014825                                                                                                                      
5111	01853344	Kekaha Hawaiian Home Land	205241	0	0.079	0.	21.971911	-159.72011                                                                                                                          
5114	02634621	Keokea (Agricultural) Hawaiian Home Land	9981356	0	3.854	0.	20.719964	-156.385123                                                                                                         
5116	00361139	Keoniki Hawaiian Home Land	934537	0	0.361	0.	20.038959	-155.69665                                                                                                                         
5120	02634622	Kewalo Hawaiian Home Land	51428	0	0.02	0.	21.314112	-157.838958                                                                                                                           
5123	00360067	Kolaoa Hawaiian Home Land	1944856	0	0.751	0.	19.719268	-156.024969                                                                                                                        
5133	02414179	Lalamilo Hawaiian Home Land	1004345	0	0.388	0.	20.024043	-155.706364                                                                                                                      
5134	02634623	Lanai City Hawaiian Home Land	190176	0	0.073	0.	20.827381	-156.928378                                                                                                                     
5135	02634624	Leialii Hawaiian Home Land	296200	0	0.114	0.	20.903268	-156.681424                                                                                                                        
5136	00361918	Lualualei Hawaiian Home Land	1830493	117026	0.707	0.045	21.459669	-158.152959                                                                                                             
5138	02634625	Maili Hawaiian Home Land	362369	0	0.14	0.	21.412896	-158.170062                                                                                                                           
5139	02634626	Makaha Valley Hawaiian Home Land	955026	0	0.369	0.	21.473136	-158.194784                                                                                                                  
5146	00362126	Makuu Hawaiian Home Land	8898121	0	3.436	0.	19.526878	-154.963996                                                                                                                         
5148	02634627	Maluohai Hawaiian Home Land	153042	0	0.059	0.	21.331016	-158.068357                                                                                                                       
5156	00362464	Moloaa Hawaiian Home Land	1398328	0	0.54	0.	22.178329	-159.356184                                                                                                                         
5161	00362574	Nanakuli Hawaiian Home Land	9342729	6042	3.607	0.002	21.392886	-158.11847                                                                                                                 
5166	00362640	Nienie Hawaiian Home Land	28726576	0	11.091	0.	20.010342	-155.512626                                                                                                                      
5176	01853349	Panaewa (Agricultural) Hawaiian Home Land	6864225	19097	2.65	0.007	19.685587	-155.049994                                                                                                  
5177	01853352	Panaewa (Residential) Hawaiian Home Land	494132	0	0.191	0.	19.692773	-155.060141                                                                                                          
5179	02634628	Papakolea Hawaiian Home Land	499996	0	0.193	0.	21.317588	-157.838393                                                                                                                      
5181	00363180	Pauahi Hawaiian Home Land	2237110	0	0.864	0.	20.047356	-155.718785                                                                                                                        
5186	01853350	Paukukalo Hawaiian Home Land	252395	0	0.097	0.	20.906713	-156.492789                                                                                                                      
5188	02634629	Pearl City Hawaiian Home Land	94785	0	0.037	0.	21.403994	-157.978991                                                                                                                      
5193	02634630	Piihonua Hawaiian Home Land	21251	0	0.008	0.	19.715555	-155.106199                                                                                                                        
5196	02634631	Ponohawaii Hawaiian Home Land	3727	0	0.001	0.	19.706272	-155.085285                                                                                                                       
5198	02634632	Princess Kahanu Estates Hawaiian Home Land	215013	0	0.083	0.	21.396611	-158.157012                                                                                                        
5199	02414182	Pulehunui Hawaiian Home Land	1587124	0	0.613	0.	20.812714	-156.463468                                                                                                                     
5201	00364148	Puukapu Hawaiian Home Land	48826569	47815	18.852	0.018	20.010327	-155.625491                                                                                                              
5213	01853356	South Maui Hawaiian Home Land	890437	0	0.344	0.	20.603045	-156.420719                                                                                                                     
5216	01853355	Ualapue Hawaiian Home Land	1658281	0	0.64	0.	21.071699	-156.834918                                                                                                                        
5222	02634633	Upolu Hawaiian Home Land	142285	0	0.055	0.	20.249467	-155.886926                                                                                                                          
5223	02634634	Waiahole Hawaiian Home Land	74572	0	0.029	0.	21.484861	-157.865524                                                                                                                        
