GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
0010,01934337,Acoma Pueblo and Off-Reservation Trust Land,1542445496,426646,595.542,0.165,34.774303,-107.66021
0020,01934324,Agua Caliente Indian Reservation and Off-Reservation Trust Land,141551132,753666,54.653,0.291,33.780614,-116.539822
0050,01350923,Alabama-Coushatta Reservation and Off-Reservation Trust Land,36744842,83761,14.187,0.032,30.707943,-94.648129
0080,00978667,Allegany Reservation,105881140,19755258,40.881,7.628,42.124118,-78.670416
0095,00218194,Alturas Indian Rancheria,100606,0,0.039,0.,41.477654,-120.524404
0110,01934114,Annette Island Reserve,343944584,333894138,132.798,128.917,55.138352,-131.470425
0115,02562463,Aroostook Band of Micmac Trust Land,4235781,0,1.635,0.,46.920245,-67.887306
0120,00218454,Auburn Rancheria and Off-Reservation Trust Land,4583549,0,1.77,0.,39.022712,-121.319028
0125,00238830,Augustine Reservation,2271942,0,0.877,0.,33.649863,-116.191202
0140,01577209,Bad River Reservation,499243445,9998339,192.759,3.86,46.521483,-90.66549
0155,00255962,Barona Reservation and Off-Reservation Trust Land,28998103,0,11.196,0.,32.952152,-116.847075
0165,00838653,Battle Mountain Reservation and Off-Reservation Trust Land,2733620,0,1.055,0.,40.664247,-116.969856
0170,01622234,Bay Mills Reservation and Off-Reservation Trust Land,14254157,291386,5.504,0.113,46.451968,-84.631414
0185,02419307,Benton Paiute Reservation and Off-Reservation Trust Land,1496559,0,0.578,0.,37.789415,-118.521986
0200,00256849,Berry Creek Rancheria and Off-Reservation Trust Land,441879,0,0.171,0.,39.503746,-121.501543
0215,00256889,Big Bend Rancheria,182728,0,0.071,0.,41.026421,-121.918896
0225,01934321,Big Cypress Reservation,213101696,262023,82.279,0.101,26.299866,-80.960458
0240,00219211,Big Lagoon Rancheria,21072,0,0.008,0.,41.164259,-124.120788
0250,00256983,Big Pine Reservation and Off-Reservation Trust Land,1181023,0,0.456,0.,37.159368,-118.284659
