GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
0010,01934337,Acoma Off-Reservation Trust Land,476750633,94718,184.074,0.037,34.605881,-107.677641
0010,01934337,Acoma Pueblo,1065694863,331928,411.467,0.128,34.866771,-107.688878
0020,01934324,Agua Caliente Indian Reservation,126774414,753666,48.948,0.291,33.787734,-116.532012
0020,01934324,Agua Caliente Off-Reservation Trust Land,14776718,0,5.705,0.,33.74171,-116.564765
0050,01350923,Alabama-Coushatta Off-Reservation Trust Land,18307192,0,7.068,0.,30.709181,-94.65502
0050,01350923,Alabama-Coushatta Reservation,18437650,83761,7.119,0.032,30.733403,-94.710048
0080,00978667,Allegany Reservation,105881140,19755258,40.881,7.628,42.124118,-78.670416
0095,00218194,Alturas Indian Rancheria,100606,0,0.039,0.,41.477654,-120.524404
0110,01934114,Annette Island Reserve,343944584,333894138,132.798,128.917,55.138352,-131.470425
0115,02562463,Aroostook Band of Micmac Trust Land,4235781,0,1.635,0.,46.920245,-67.887306
0120,00218454,Auburn Off-Reservation Trust Land,4303768,0,1.662,0.,39.022875,-121.324384
0120,00218454,Auburn Rancheria,279781,0,0.108,0.,38.840352,-121.314821
0125,00238830,Augustine Reservation,2271942,0,0.877,0.,33.649863,-116.191202
0140,01577209,Bad River Reservation,499243445,9998339,192.759,3.86,46.521483,-90.66549
0155,00255962,Barona Off-Reservation Trust Land,5200226,0,2.008,0.,32.939633,-116.8393
0155,00255962,Barona Reservation,23797877,0,9.188,0.,32.955706,-116.844302
0165,00838653,Battle Mountain Off-Reservation Trust Land,6030,0,0.002,0.,40.652337,-116.964465
0165,00838653,Battle Mountain Reservation,2727590,0,1.053,0.,40.664247,-116.969856
0170,01622234,Bay Mills Off-Reservation Trust Land,88291,0,0.034,0.,46.459864,-84.727067
0170,01622234,Bay Mills Reservation,14165866,291386,5.469,0.113,46.446337,-84.610022
0185,02419307,Benton Paiute Off-Reservation Trust Land,871283,0,0.336,0.,37.786522,-118.522741
0185,02419307,Benton Paiute Reservation,625276,0,0.241,0.,37.793445,-118.520935
0200,00256849,Berry Creek Off-Reservation Trust Land,285954,0,0.11,0.,39.50237,-121.504449
0200,00256849,Berry Creek Rancheria,155925,0,0.06,0.,39.625609,-121.327883
0215,00256889,Big Bend Rancheria,182728,0,0.071,0.,41.026421,-121.918896
0225,01934321,Big Cypress Reservation,213101696,262023,82.279,0.101,26.299866,-80.960458
0240,00219211,Big Lagoon Rancheria,21072,0,0.008,0.,41.164259,-124.120788
0250,00256983,Big Pine Off-Reservation Trust Land,60027,0,0.023,0.,37.166975,-118.277062
0250,00256983,Big Pine Reservation,1120996,0,0.433,0.,37.15896,-118.285065
0265,01667416,Big Sandy Off-Reservation Trust Land,311957,0,0.12,0.,37.093133,-119.469489
0265,01667416,Big Sandy Rancheria,1064142,0,0.411,0.,37.083049,-119.46437
0275,00219277,Big Valley Rancheria,482651,0,0.186,0.,39.020365,-122.887141
0290,00264455,Bishop Reservation,3503000,34784,1.353,0.013,37.364413,-118.420485
0305,00806895,Blackfeet Indian Reservation,6142817009,71204928,2371.755,27.492,48.651288,-112.891248
0305,00806895,Blackfeet Off-Reservation Trust Land,300363,0,0.116,0.,48.182019,-112.830326
0325,02419316,Blue Lake Off-Reservation Trust Land,200342,9060,0.077,0.003,40.884478,-124.002386
0325,02419316,Blue Lake Rancheria,136714,0,0.053,0.,40.883345,-123.998019
0335,02105053,Bois Forte Off-Reservation Trust Land,5451651,0,2.105,0.,47.824367,-92.357009
