USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01001	00161526	Autauga County	1539602123	25706961	594.444	9.926	32.532237	-86.64644                                                                                                                  
AL	01003	00161527	Baldwin County	4117546676	1133055836	1589.794	437.475	30.659218	-87.746067                                                                                                            
AL	01005	00161528	Barbour County	2292144655	50538698	885.002	19.513	31.870253	-85.405104                                                                                                                
AL	01007	00161529	Bibb County	1612167481	9602089	622.461	3.707	33.015893	-87.127148                                                                                                                     
AL	01009	00161530	Blount County	1670103911	15015423	644.831	5.797	33.977358	-86.56644                                                                                                                   
AL	01011	00161531	Bullock County	1613059160	6054988	622.806	2.338	32.101759	-85.717261                                                                                                                  
AL	01013	00161532	Butler County	2012002530	2701198	776.839	1.043	31.751667	-86.681969                                                                                                                   
AL	01015	00161533	Calhoun County	1569189622	16627597	605.868	6.42	33.771706	-85.822513                                                                                                                  
AL	01017	00161534	Chambers County	1545085607	16971701	596.561	6.553	32.915504	-85.394032                                                                                                                
AL	01019	00161535	Cherokee County	1433623321	120308339	553.525	46.451	34.069515	-85.654242                                                                                                              
AL	01021	00161536	Chilton County	1794477075	20592144	692.852	7.951	32.854051	-86.726607                                                                                                                 
AL	01023	00161537	Choctaw County	2365869835	19144469	913.467	7.392	31.990954	-88.248889                                                                                                                 
AL	01025	00161538	Clarke County	3207494111	36657891	1238.42	14.154	31.685521	-87.818624                                                                                                                 
AL	01027	00161539	Clay County	1564251835	5285207	603.961	2.041	33.2704	-85.863525                                                                                                                       
AL	01029	00161540	Cleburne County	1450663940	2354896	560.105	0.909	33.671964	-85.516126                                                                                                                 
AL	01031	00161541	Coffee County	1758565925	3907189	678.986	1.509	31.402258	-85.989602                                                                                                                   
AL	01033	00161542	Colbert County	1535202321	79700277	592.745	30.772	34.703112	-87.801457                                                                                                                
AL	01035	00161543	Conecuh County	2202007854	6632046	850.2	2.561	31.430926	-86.988722                                                                                                                    
AL	01037	00161544	Coosa County	1685850815	39987271	650.911	15.439	32.931445	-86.243482                                                                                                                  
AL	01039	00161545	Covington County	2669129020	34231390	1030.557	13.217	31.243987	-86.448721                                                                                                             
AL	01041	00161546	Crenshaw County	1576952799	5388561	608.865	2.081	31.732826	-86.319222                                                                                                                 
AL	01043	00161547	Cullman County	1903073019	52422496	734.781	20.24	34.131923	-86.869267                                                                                                                 
AL	01045	00161548	Dale County	1453244553	4082940	561.101	1.576	31.430654	-85.609476                                                                                                                     
AL	01047	00161549	Dallas County	2534919599	39124778	978.738	15.106	32.33354	-87.114356                                                                                                                  
AL	01049	00161550	DeKalb County	2012676479	4121543	777.099	1.591	34.460929	-85.803992                                                                                                                   
