USPS,GEOID,ANSICODE,NAME,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
AL,0100190171,00161593,Autaugaville CCD,S,478151753,13897907,184.615,5.366,32.457413,-86.729003
AL,0100190315,00165647,Billingsley CCD,S,386865281,1575402,149.37,0.608,32.606138,-86.748985
AL,0100192106,00165648,Marbury CCD,S,292756940,516152,113.034,0.199,32.638522,-86.514873
AL,0100192628,00165649,Prattville CCD,S,381828149,9717500,147.425,3.752,32.479785,-86.506495
AL,0100390207,00161594,Bay Minette CCD,S,1338301481,27515243,516.721,10.624,30.809659,-87.706187
AL,0100390846,00165650,Daphne CCD,S,297339608,142423998,114.803,54.99,30.667431,-87.906229
AL,0100390963,00165651,Elberta CCD,S,316024412,47416178,122.018,18.307,30.406946,-87.518884
AL,0100391053,00165652,Fairhope CCD,S,170420229,195840128,65.8,75.614,30.466855,-87.912303
AL,0100391152,00161595,Foley CCD,S,451267332,677294345,174.235,261.505,30.3586,-87.831463
AL,0100392754,00161596,Robertsdale CCD,S,442192249,4263788,170.731,1.646,30.556714,-87.643188
AL,0100393024,00161597,Stockton CCD,S,971525691,37553395,375.108,14.499,31.110476,-87.786871
AL,0100393042,00165653,Summerdale CCD,S,130475674,748761,50.377,0.289,30.489699,-87.67673
AL,0100590189,00165654,Bakerhill CCD,S,333700199,9997623,128.842,3.86,31.763418,-85.271865
AL,0100590630,00165655,Clayton CCD,S,517006043,983621,199.617,0.38,31.922275,-85.449831
AL,0100590648,00165656,Clio CCD,S,343319538,397957,132.556,0.154,31.679443,-85.55772
AL,0100591017,00161598,Eufaula CCD,S,745322164,38659527,287.771,14.927,32.000976,-85.243602
AL,0100591989,00165657,Louisville CCD,S,352796711,499970,136.216,0.193,31.790893,-85.567051
AL,0100790531,00161599,Centreville-Brent CCD,S,1001779845,4339466,386.789,1.675,32.931869,-87.14378
AL,0100792601,00165658,Piper-Coleanor CCD,S,194077684,2016669,74.934,0.779,33.065223,-86.996632
AL,0100793438,00165659,West Blocton CCD,S,416309952,3245954,160.738,1.253,33.120326,-87.136978
AL,0100990333,00165660,Blountsville CCD,S,249218475,1495355,96.224,0.577,34.033624,-86.637318
AL,0100990414,00165661,Brooksville CCD,S,245105144,1295757,94.636,0.5,34.166034,-86.497174
AL,0100990612,00165662,Clarence CCD,S,189897980,494812,73.32,0.191,34.076531,-86.390499
AL,0100990639,00165663,Cleveland CCD,S,116476802,607001,44.972,0.234,33.997435,-86.544238
AL,0100991557,00165664,Hayden CCD,S,265735387,1560726,102.601,0.603,33.896247,-86.812872
AL,0100991953,00165665,Locust Fork CCD,S,203716637,981315,78.655,0.379,33.840576,-86.635018
AL,0100992439,00165666,Oneonta CCD,S,399953486,8580457,154.423,3.313,33.904424,-86.460343
AL,0101191098,00165667,Fitzpatrick CCD,S,348247049,2031215,134.459,0.784,32.167144,-85.904292
AL,0101191701,00165668,Inverness CCD,S,438087814,1443991,169.147,0.558,31.97759,-85.750892
