USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
AZ	0400082	Colorado River Union High School District	09	12	2711174269	74638171	1046.79	28.818	35.105214	-114.467834                                                                                     
AZ	0400450	Agua Fria Union High School District	09	12	244645640	735546	94.458	0.284	33.481427	-112.407871                                                                                               
AZ	0400720	Antelope Union High School District	09	12	7937907742	3400	3064.843	0.001	32.992049	-113.817372                                                                                               
AZ	0401160	Bicentennial Union High School District	09	12	9842302355	22973076	3800.134	8.87	33.669497	-113.952153                                                                                        
AZ	0401410	Buckeye Union High School District	09	12	3167017504	214246	1222.792	0.083	33.319899	-112.811794                                                                                              
AZ	0401740	Casa Grande Union High School District	09	12	3365208891	1185232	1299.314	0.458	32.839153	-111.920895                                                                                         
AZ	0403450	Glendale Union High School District	09	12	153780176	412966	59.375	0.159	33.574317	-112.135194                                                                                                
AZ	0405070	Mingus Union High School District	09	12	1320301122	401767	509.771	0.155	34.835063	-112.083898                                                                                                
AZ	0406030	Patagonia Union High School District	09	12	1795991587	1646872	693.436	0.636	31.547287	-110.679958                                                                                            
AZ	0406330	Phoenix Union High School District	09	12	449279210	1970521	173.468	0.761	33.440865	-112.099026                                                                                               
AZ	0407530	Santa Cruz Valley Union High School District	09	12	1857316232	3443532	717.114	1.33	32.641808	-111.434533                                                                                     
AZ	0408340	Tempe Union High School District	09	12	428728943	2511986	165.533	0.97	33.3112	-111.983539                                                                                                    
AZ	0408520	Tolleson Union High School District	09	12	264923255	636238	102.287	0.246	33.41192	-112.274378                                                                                                
AZ	0408910	Valley Union High School District	09	12	1470351069	694059	567.706	0.268	31.86554	-109.670038                                                                                                 
AZ	0409630	Yuma Union High School District	09	12	6343220088	13322679	2449.131	5.144	32.529507	-114.004891                                                                                               
CA	0601650	Acalanes Union High School District	09	12	204876990	4415415	79.103	1.705	37.878182	-122.130191                                                                                               
CA	0602630	Anaheim Union High School District	07	12	105048292	442229	40.559	0.171	33.827317	-117.962154                                                                                                 
CA	0602670	West Sonoma County Union High School District	09	12	835756691	195335943	322.687	75.42	38.484585	-123.085885                                                                                  
CA	0602700	Anderson Union High School District	09	12	615542076	7170106	237.662	2.768	40.44312	-122.315636                                                                                               
CA	0602820	Antelope Valley Union Joint High School District	09	12	3597801139	18975485	1389.119	7.326	34.654884	-118.149919                                                                              
CA	0603030	Northern Humboldt Union High School District	09	12	1820948098	33805634	703.072	13.052	40.97322	-123.908635                                                                                   
CA	0605820	Brawley Union High School District	09	12	2029143039	198658273	783.457	76.702	33.085903	-115.679199                                                                                           
CA	0605940	Bret Harte Union High School District	09	12	1101583207	13449989	425.324	5.193	38.147844	-120.46516                                                                                           
CA	0606001	Yosemite Unified School District (9-12)	09	12	1224437687	16851136	472.758	6.506	37.318284	-119.731752                                                                                        
CA	0606003	Twin Rivers Unified School District (9-12)	09	12	64094764	36883	24.747	0.014	38.739206	-121.480657                                                                                           
