USPS,GEOID,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
AL,01001,State House District 1,534625045,3496759,206.42,1.35,34.937203,-87.663135
AL,01002,State House District 2,904397198,94902825,349.19,36.642,34.879956,-87.324235
AL,01003,State House District 3,807625017,90694546,311.826,35.017,34.690133,-87.448288
AL,01004,State House District 4,753468174,115453892,290.916,44.577,34.609261,-86.891318
AL,01005,State House District 5,610073961,5516868,235.551,2.13,34.866783,-86.971857
AL,01006,State House District 6,357787891,1753300,138.143,0.677,34.888454,-86.753918
AL,01007,State House District 7,1982996890,21015753,765.639,8.114,34.463797,-87.388141
AL,01008,State House District 8,213050777,2426656,82.259,0.937,34.510677,-87.043038
AL,01009,State House District 9,968863444,9234951,374.08,3.566,34.372282,-86.853006
AL,01010,State House District 10,340140918,18086226,131.329,6.983,34.621812,-86.657476
AL,01011,State House District 11,1318653266,9092963,509.135,3.511,34.16987,-86.606844
AL,01012,State House District 12,1105314177,44358391,426.764,17.127,34.062641,-86.944745
AL,01013,State House District 13,787746528,14142411,304.151,5.46,33.848651,-87.130564
AL,01014,State House District 14,2584409177,69016029,997.846,26.647,33.927692,-87.331067
AL,01015,State House District 15,456912248,4641352,176.415,1.792,33.32888,-87.165563
AL,01016,State House District 16,3841207814,47219847,1483.099,18.232,33.605787,-87.647237
AL,01017,State House District 17,3205780688,6821123,1237.759,2.634,34.060023,-87.905718
AL,01018,State House District 18,2876006068,147696802,1110.432,57.026,34.636587,-87.913206
AL,01019,State House District 19,212666477,605023,82.111,0.234,34.82798,-86.654458
AL,01020,State House District 20,106977236,135233,41.304,0.052,34.667849,-86.521331
AL,01021,State House District 21,235452988,1219860,90.909,0.471,34.85679,-86.564433
AL,01022,State House District 22,1955060524,13069185,754.853,5.046,34.787655,-86.292288
AL,01023,State House District 23,1734443540,120081395,669.672,46.364,34.755207,-85.872973
AL,01024,State House District 24,1194880608,2916350,461.346,1.126,34.549201,-85.707429
AL,01025,State House District 25,116141303,843415,44.842,0.326,34.762726,-86.778387
AL,01026,State House District 26,394927788,27040962,152.482,10.441,34.311644,-86.150857
AL,01027,State House District 27,1210411107,119831649,467.342,46.267,34.350504,-86.25558
AL,01028,State House District 28,344495056,6983276,133.01,2.696,34.046495,-86.098543
AL,01029,State House District 29,1136960515,10153250,438.983,3.92,34.072219,-85.937045
AL,01030,State House District 30,1166826029,44162888,450.514,17.051,33.861396,-86.193967
AL,01031,State House District 31,1322752485,83796505,510.718,32.354,32.615023,-86.118853
AL,01032,State House District 32,667773320,22459348,257.829,8.672,33.526162,-86.113784
AL,01033,State House District 33,2308672976,45221672,891.384,17.46,33.120643,-86.203018
AL,01034,State House District 34,1119880194,11962455,432.388,4.619,33.926682,-86.867279
AL,01035,State House District 35,1631196521,11034493,629.809,4.26,33.386055,-85.881629
AL,01036,State House District 36,554306992,37902812,214.019,14.634,33.581355,-86.380076
AL,01037,State House District 37,3307157595,26045868,1276.901,10.056,33.197854,-85.468641
AL,01038,State House District 38,876801575,12903439,338.535,4.982,32.689349,-85.245179
AL,01039,State House District 39,2666153063,122850903,1029.407,47.433,34.04043,-85.588288
AL,01040,State House District 40,683081043,10875404,263.739,4.199,33.769162,-85.802975
AL,01041,State House District 41,1002710547,38490768,387.149,14.861,33.219388,-86.600824
AL,01042,State House District 42,1854725829,6714351,716.114,2.592,32.749016,-86.690687
AL,01043,State House District 43,122052132,3285659,47.125,1.269,33.361209,-86.746856
AL,01044,State House District 44,223435787,3402585,86.269,1.314,33.660211,-86.592617
