USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
AL	01001	State Senate District 1	2366606373	114368352	913.752	44.158	34.893231	-87.291338                                                                                                               
AL	01002	State Senate District 2	579931828	3010003	223.913	1.162	34.798614	-86.777332                                                                                                                   
AL	01003	State Senate District 3	2042488102	149037196	788.609	57.544	34.514731	-86.855459                                                                                                               
AL	01004	State Senate District 4	4963663126	67770164	1916.481	26.166	34.235976	-87.231652                                                                                                               
AL	01005	State Senate District 5	6868049884	147876275	2651.769	57.095	33.703904	-87.449608                                                                                                              
AL	01006	State Senate District 6	4939236506	231724610	1907.05	89.469	34.527133	-87.827905                                                                                                               
AL	01007	State Senate District 7	508759684	2758006	196.433	1.065	34.795649	-86.537509                                                                                                                   
AL	01008	State Senate District 8	4742053055	132323433	1830.917	51.09	34.705419	-85.967482                                                                                                               
AL	01009	State Senate District 9	2574415407	157238490	993.987	60.71	34.350004	-86.301004                                                                                                                
AL	01010	State Senate District 10	3027301043	155654876	1168.848	60.099	34.127552	-85.818483                                                                                                             
AL	01011	State Senate District 11	2495180665	104738617	963.395	40.44	33.239951	-86.816446                                                                                                               
AL	01012	State Senate District 12	2071569063	29520409	799.837	11.398	33.708392	-85.866764                                                                                                               
AL	01013	State Senate District 13	6701749796	47012132	2587.56	18.151	33.221817	-85.528501                                                                                                               
AL	01014	State Senate District 14	3045232043	29210056	1175.771	11.278	33.004854	-86.962997                                                                                                              
AL	01015	State Senate District 15	1499792813	36129570	579.073	13.95	33.403609	-86.460337                                                                                                                
AL	01016	State Senate District 16	197910908	3941668	76.414	1.522	33.394812	-86.781934                                                                                                                   
AL	01017	State Senate District 17	2649098560	36801457	1022.823	14.209	33.865666	-86.50732                                                                                                               
AL	01018	State Senate District 18	277423489	1795652	107.114	0.693	33.407214	-86.885076                                                                                                                  
AL	01019	State Senate District 19	550639434	3582416	212.603	1.383	33.443053	-87.006893                                                                                                                  
AL	01020	State Senate District 20	358349129	999327	138.359	0.386	33.599569	-86.765674                                                                                                                   
AL	01021	State Senate District 21	4437414697	25821569	1713.295	9.97	33.440916	-87.884912                                                                                                                
AL	01022	State Senate District 22	12068152505	217494530	4659.54	83.975	31.278972	-87.741782                                                                                                             
AL	01023	State Senate District 23	15976198235	150968957	6168.445	58.289	32.012453	-87.100759                                                                                                            
AL	01024	State Senate District 24	10494084543	152994480	4051.789	59.072	32.558751	-88.023498                                                                                                            
AL	01025	State Senate District 25	3684518383	32302067	1422.601	12.472	32.074067	-86.205509                                                                                                              
AL	01026	State Senate District 26	707026022	24685505	272.984	9.531	32.315116	-86.303098                                                                                                                 
AL	01027	State Senate District 27	3007888634	103511170	1161.352	39.966	32.722819	-85.607434                                                                                                             
AL	01028	State Senate District 28	8383410036	98812984	3236.853	38.152	31.993932	-85.450209                                                                                                              
AL	01029	State Senate District 29	3280161482	16453612	1266.477	6.353	31.14584	-85.602293                                                                                                                
AL	01030	State Senate District 30	5126273236	196218669	1979.265	75.76	32.736604	-86.427362                                                                                                              
AL	01031	State Senate District 31	7147642521	44218440	2759.72	17.073	31.450346	-86.096234                                                                                                               
AL	01032	State Senate District 32	1217774350	1000320479	470.185	386.226	30.40081	-87.789551                                                                                                             
AL	01033	State Senate District 33	238301796	102493511	92.009	39.573	30.681661	-88.081988                                                                                                                
AL	01034	State Senate District 34	2101006736	46911959	811.203	18.113	30.919062	-88.209075                                                                                                               
AL	01035	State Senate District 35	844744499	924626513	326.158	357.	30.405808	-88.202117                                                                                                                 
AK	0200A	State Senate District A	110380913	2722334	42.618	1.051	64.830694	-147.617603                                                                                                                   
AK	0200B	State Senate District B	2237281357	5135953	863.819	1.983	65.000026	-148.150935                                                                                                                 
AK	0200C	State Senate District C	316562509243	4567323577	122225.473	1763.454	64.880209	-145.267153                                                                                                      
AK	0200D	State Senate District D	1549343105	378484989	598.205	146.134	61.419096	-150.092009                                                                                                             
AK	0200E	State Senate District E	96499345727	2760331908	37258.607	1065.77	62.531779	-147.884122                                                                                                         
AK	0200F	State Senate District F	2473913770	213995593	955.183	82.624	61.299272	-149.021202                                                                                                              
AK	0200G	State Senate District G	1029934106	73912939	397.66	28.538	61.17425	-149.284329                                                                                                                 
AK	0200H	State Senate District H	64719691	18904102	24.988	7.299	61.253462	-149.810741                                                                                                                   
AK	0200I	State Senate District I	22133632	226380	8.546	0.087	61.189802	-149.856795                                                                                                                      
AK	0200J	State Senate District J	20620552	9312486	7.962	3.596	61.221069	-149.873651                                                                                                                     
AK	0200K	State Senate District K	67718151	234567693	26.146	90.567	61.164811	-150.177803                                                                                                                 
AK	0200L	State Senate District L	39862949	55442258	15.391	21.406	61.093312	-149.867482                                                                                                                  
AK	0200M	State Senate District M	45575729	27202	17.597	0.011	61.140922	-149.795492                                                                                                                      
AK	0200N	State Senate District N	1602124070	157610200	618.584	60.854	60.972462	-149.084984                                                                                                              
AK	0200O	State Senate District O	8017531647	2539217773	3095.586	980.398	60.74189	-149.970519                                                                                                            
AK	0200P	State Senate District P	88998635651	51607015817	34362.567	19925.581	59.430812	-146.334145                                                                                                      
AK	0200Q	State Senate District Q	22971413563	5351070127	8869.313	2066.06	58.544729	-135.317227                                                                                                          
AK	0200R	State Senate District R	55972140699	34041727306	21610.965	13143.585	56.459231	-133.109201                                                                                                      
AK	0200S	State Senate District S	329477519886	93348701614	127211.987	36042.137	59.263258	-160.472597                                                                                                    
AK	0200T	State Senate District T	551076991517	50115847201	212772.025	19349.838	67.309585	-157.427174                                                                                                    
AZ	04001	State Senate District 1	20703842340	11955410	7993.799	4.616	34.563468	-112.581456                                                                                                              
AZ	04002	State Senate District 2	6472915355	3815946	2499.207	1.473	31.661486	-111.074416                                                                                                                
AZ	04003	State Senate District 3	355555857	432140	137.281	0.167	32.178987	-111.074695                                                                                                                   
AZ	04004	State Senate District 4	30654907673	3464175	11835.927	1.338	32.441904	-112.704396                                                                                                              
AZ	04005	State Senate District 5	43758239677	419506823	16895.152	161.972	35.179884	-113.835223                                                                                                          
AZ	04006	State Senate District 6	26365840430	109675380	10179.908	42.346	34.808543	-111.309802                                                                                                           
AZ	04007	State Senate District 7	95540103737	212247043	36888.242	81.949	35.491578	-110.670711                                                                                                           
AZ	04008	State Senate District 8	10790459057	19605222	4166.22	7.57	33.05562	-111.126038                                                                                                                 
AZ	04009	State Senate District 9	236680339	788980	91.383	0.305	32.310023	-110.937022                                                                                                                    
AZ	04010	State Senate District 10	257286144	114043	99.339	0.044	32.232701	-110.793991                                                                                                                   
AZ	04011	State Senate District 11	5090744135	3932787	1965.547	1.518	32.595782	-111.508349                                                                                                               
AZ	04012	State Senate District 12	333954246	314438	128.94	0.121	33.2524	-111.689118                                                                                                                     
AZ	04013	State Senate District 13	14773785454	12478608	5704.191	4.818	33.28878	-113.48599                                                                                                               
AZ	04014	State Senate District 14	31431894517	167848329	12135.923	64.807	32.263177	-109.787718                                                                                                          
AZ	04015	State Senate District 15	381691952	674617	147.372	0.26	33.709931	-112.060803                                                                                                                   
AZ	04016	State Senate District 16	515828350	483918	199.162	0.187	33.360543	-111.55834                                                                                                                   
AZ	04017	State Senate District 17	173470638	653263	66.977	0.252	33.274076	-111.829606                                                                                                                   
AZ	04018	State Senate District 18	154775080	996774	59.759	0.385	33.33027	-111.955622                                                                                                                    
AZ	04019	State Senate District 19	277988218	1867148	107.332	0.721	33.412502	-112.268172                                                                                                                 
AZ	04020	State Senate District 20	112420095	289648	43.406	0.112	33.615933	-112.126998                                                                                                                   
AZ	04021	State Senate District 21	166590163	699803	64.321	0.27	33.602317	-112.291877                                                                                                                    
AZ	04022	State Senate District 22	839966928	8451968	324.313	3.263	33.744094	-112.381478                                                                                                                 
