GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
00037	Abbeville, LA Urban Cluster	C	29189594	298416	11.27	0.115	29.967156	-92.095966                                                                                                                    
00064	Abbeville, SC Urban Cluster	C	11271121	19786	4.352	0.008	34.179273	-82.379776                                                                                                                     
00091	Abbotsford, WI Urban Cluster	C	5394605	13221	2.083	0.005	44.948612	-90.315875                                                                                                                     
00118	Aberdeen, MS Urban Cluster	C	7416339	52820	2.863	0.02	33.824742	-88.554591                                                                                                                        
00145	Aberdeen, SD Urban Cluster	C	33035011	120864	12.755	0.047	45.463186	-98.471033                                                                                                                    
00172	Aberdeen, WA Urban Cluster	C	40024137	1932719	15.453	0.746	46.976365	-123.796056                                                                                                                  
00199	Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area	U	339739357	9827161	131.174	3.794	39.50893	-76.303492                                                                                   
00226	Abernathy, TX Urban Cluster	C	3051035	12572	1.178	0.005	33.830523	-101.846278                                                                                                                     
00253	Abilene, KS Urban Cluster	C	8744553	1877	3.376	0.001	38.921855	-97.220768                                                                                                                         
00280	Abilene, TX Urbanized Area	U	141784244	1002809	54.743	0.387	32.428784	-99.747194                                                                                                                  
00334	Abingdon, IL Urban Cluster	C	3739878	0	1.444	0.	40.804173	-90.401517                                                                                                                              
00388	Ada, OH Urban Cluster	C	4755113	0	1.836	0.	40.767231	-83.82466                                                                                                                                    
00415	Ada, OK Urban Cluster	C	30913554	89141	11.936	0.034	34.774803	-96.669103                                                                                                                          
00450	Adams, NY Urban Cluster	C	5100412	13914	1.969	0.005	43.808664	-76.021178                                                                                                                          
00469	Adel, GA Urban Cluster	C	15745461	149881	6.079	0.058	31.145731	-83.429099                                                                                                                         
00496	Adel, IA Urban Cluster	C	4596496	0	1.775	0.	41.612188	-94.021031                                                                                                                                  
00550	Adjuntas, PR Urban Cluster	C	20440782	156184	7.892	0.06	18.166604	-66.729934                                                                                                                      
00577	Adrian, MI Urban Cluster	C	62195867	614875	24.014	0.237	41.909568	-84.031176                                                                                                                      
00604	Agat, GU Urban Cluster	C	12701668	2939	4.904	0.001	13.39108	+144.669527                                                                                                                           
00631	Aguadilla--Isabela--San Sebastián, PR Urbanized Area	U	619742638	894872	239.284	0.346	18.370709	-67.040996                                                                                        
00658	Ahoskie, NC Urban Cluster	C	7548519	0	2.914	0.	36.287867	-76.983286                                                                                                                               
00676	Air Force Academy, CO Urban Cluster	C	6458865	0	2.494	0.	38.985935	-104.858324                                                                                                                    
00712	Ajo, AZ Urban Cluster	C	6916368	0	2.67	0.	32.388725	-112.868897                                                                                                                                   
