USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
AL	0100001	Fort Rucker School District	KG	12	232935772	2801707	89.937	1.082	31.409737	-85.745807                                                                                                        
AL	0100003	Maxwell AFB School District	KG	12	8706782	372428	3.362	0.144	32.380944	-86.363749                                                                                                            
AL	0100005	Albertville City School District	KG	12	69358644	258708	26.78	0.1	34.26313	-86.21066                                                                                                          
AL	0100006	Marshall County School District	PK	12	1266356245	103642466	488.943	40.017	34.373896	-86.344229                                                                                               
AL	0100007	Hoover City School District	KG	12	122561225	2541185	47.321	0.981	33.376949	-86.805579                                                                                                        
AL	0100008	Madison City School District	PK	12	78518552	356837	30.316	0.138	34.710533	-86.76228                                                                                                          
AL	0100011	Leeds City School District	KG	12	58231598	566101	22.483	0.219	33.546847	-86.571448                                                                                                           
AL	0100012	Boaz City School District	PK	12	37683448	161880	14.55	0.063	34.19902	-86.155151                                                                                                              
AL	0100013	Trussville City School District	KG	12	87686742	1318142	33.856	0.509	33.655233	-86.56324                                                                                                      
AL	0100030	Alexander City City School District	KG	12	246666759	43846407	95.239	16.929	32.869022	-85.951083                                                                                              
AL	0100060	Andalusia City School District	KG	12	50911855	405912	19.657	0.157	31.309436	-86.478031                                                                                                       
AL	0100090	Anniston City School District	PK	12	118091474	179313	45.595	0.069	33.673435	-85.810937                                                                                                       
AL	0100100	Arab City School District	PK	12	34511834	343242	13.325	0.133	34.332387	-86.501167                                                                                                            
AL	0100120	Athens City School District	KG	12	103236667	665558	39.86	0.257	34.779021	-86.950799                                                                                                          
AL	0100180	Attalla City School District	PK	12	18079282	0	6.98	0.	33.986189	-86.121037                                                                                                                   
AL	0100185	Saraland City School District	KG	12	80067843	573130	30.914	0.221	30.854575	-88.109907                                                                                                        
AL	0100188	Chickasaw City School District	PK	12	10894951	908483	4.207	0.351	30.77145	-88.079697                                                                                                         
AL	0100189	Satsuma City School District	PK	12	18995523	122490	7.334	0.047	30.857874	-88.063383                                                                                                          
AL	0100190	Alabaster City School District	KG	12	65377378	806152	25.242	0.311	33.226936	-86.761015                                                                                                       
AL	0100194	Pelham City School District	KG	12	100552563	1311246	38.824	0.506	33.32183	-86.742197                                                                                                         
AL	0100210	Auburn City School District	PK	12	155748728	2638308	60.135	1.019	32.607722	-85.489545                                                                                                        
AL	0100240	Autauga County School District	KG	12	1539602123	25706961	594.444	9.926	32.532237	-86.64644                                                                                                   
AL	0100270	Baldwin County School District	PK	12	4117546676	1133055836	1589.794	437.475	30.659218	-87.746067                                                                                             
AL	0100300	Barbour County School District	PK	12	2138001448	14382066	825.487	5.553	31.870253	-85.405104                                                                                                  
AL	0100330	Bessemer City School District	PK	12	104998110	429098	40.54	0.166	33.370789	-86.971568                                                                                                        
AL	0100360	Bibb County School District	KG	12	1612167481	9602089	622.461	3.707	33.015893	-87.127148                                                                                                      
AL	0100390	Birmingham City School District	PK	12	378318045	6593183	146.069	2.546	33.527444	-86.799047                                                                                                   
AL	0100420	Blount County School District	PK	12	1629308300	14865464	629.079	5.74	33.977358	-86.56644                                                                                                     
AL	0100450	Brewton City School District	KG	12	29057344	604882	11.219	0.234	31.109175	-87.076583                                                                                                         
AL	0100480	Bullock County School District	KG	12	1613059160	6054988	622.806	2.338	32.101759	-85.717261                                                                                                   
AL	0100510	Butler County School District	PK	12	2012002530	2701198	776.839	1.043	31.751667	-86.681969                                                                                                    
AL	0100540	Calhoun County School District	PK	12	1227244203	13887309	473.842	5.362	33.779208	-85.842799                                                                                                  
AL	0100600	Chambers County School District	PK	12	1528918164	16971701	590.319	6.553	32.915504	-85.394032                                                                                                 
AL	0100630	Cherokee County School District	PK	12	1433623321	120308339	553.525	46.451	34.176127	-85.618196                                                                                               
AL	0100660	Chilton County School District	PK	12	1794477075	20592144	692.852	7.951	32.854051	-86.726607                                                                                                  
